w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.05,0.15,0.75,0.05,0.2849,0.5263,0.7368
0.05,0.15,0.8,0.0,0.2849,0.5263,0.7368
0.1,0.2,0.05,0.65,0.2849,0.4211,0.6316
0.05,0.65,0.05,0.25,0.2849,0.3684,0.6842
0.15,0.3,0.35,0.2,0.2848,0.4211,0.7895
0.15,0.4,0.25,0.2,0.2848,0.4211,0.7895
0.15,0.45,0.25,0.15,0.2848,0.4211,0.7895
0.05,0.35,0.6,0.0,0.2847,0.4737,0.7895
0.05,0.4,0.55,0.0,0.2847,0.4737,0.7895
0.15,0.5,0.2,0.15,0.2847,0.4737,0.7895
0.15,0.3,0.3,0.25,0.2845,0.4211,0.7895
0.15,0.35,0.3,0.2,0.2845,0.4211,0.7895
0.15,0.4,0.3,0.15,0.2845,0.4211,0.7895
0.3,0.6,0.1,0.0,0.2844,0.4211,0.6316
0.15,0.2,0.4,0.25,0.2843,0.4211,0.7895
0.3,0.45,0.1,0.15,0.2843,0.4211,0.6316
0.3,0.5,0.1,0.1,0.2843,0.4211,0.6316
0.3,0.55,0.1,0.05,0.2843,0.4211,0.6316
0.05,0.6,0.05,0.3,0.2843,0.3684,0.6842
0.05,0.3,0.6,0.05,0.2842,0.4737,0.7368
0.05,0.75,0.05,0.15,0.2842,0.3684,0.6842
0.2,0.5,0.2,0.1,0.2841,0.4737,0.7895
0.1,0.1,0.75,0.05,0.2841,0.4737,0.7368
0.35,0.55,0.1,0.0,0.2841,0.4211,0.6316
0.1,0.2,0.7,0.0,0.284,0.4737,0.7895
0.05,0.2,0.2,0.55,0.284,0.3158,0.7895
0.05,0.25,0.2,0.5,0.284,0.3158,0.7895
0.05,0.3,0.2,0.45,0.284,0.3158,0.7895
0.05,0.35,0.2,0.4,0.284,0.3158,0.7895
0.1,0.15,0.75,0.0,0.2839,0.4737,0.7368
0.15,0.35,0.05,0.45,0.2839,0.4211,0.6316
0.2,0.35,0.05,0.4,0.2839,0.4211,0.6316
0.2,0.4,0.05,0.35,0.2839,0.4211,0.6316
0.2,0.45,0.05,0.3,0.2839,0.4211,0.6316
0.25,0.5,0.05,0.2,0.2839,0.4211,0.6316
0.15,0.25,0.05,0.55,0.2838,0.4211,0.6316
0.15,0.3,0.05,0.5,0.2838,0.4211,0.6316
0.3,0.6,0.05,0.05,0.2838,0.4211,0.6316
0.15,0.4,0.45,0.0,0.2834,0.4737,0.7895
0.05,0.2,0.7,0.05,0.2831,0.4737,0.7368
0.05,0.2,0.75,0.0,0.2831,0.4737,0.7368
0.1,0.15,0.7,0.05,0.2831,0.4211,0.7368
0.05,0.35,0.55,0.05,0.283,0.4211,0.7895
0.15,0.65,0.2,0.0,0.2828,0.4737,0.7895
0.15,0.6,0.25,0.0,0.2827,0.4737,0.7895
0.05,0.45,0.45,0.05,0.2826,0.4211,0.7895
0.15,0.15,0.7,0.0,0.2826,0.4211,0.7895
0.15,0.35,0.25,0.25,0.2826,0.4211,0.7895
0.3,0.35,0.35,0.0,0.2825,0.4737,0.7895
0.15,0.45,0.4,0.0,0.2822,0.4737,0.7895
0.25,0.5,0.25,0.0,0.2822,0.4737,0.7895
0.3,0.4,0.3,0.0,0.2822,0.4737,0.7895
0.1,0.75,0.0,0.15,0.2822,0.3684,0.6316
0.15,0.5,0.35,0.0,0.2821,0.4737,0.7895
0.25,0.35,0.4,0.0,0.282,0.4211,0.7895
0.15,0.45,0.2,0.2,0.2818,0.4737,0.7895
0.05,0.05,0.85,0.05,0.2818,0.4737,0.7368
0.05,0.25,0.7,0.0,0.2818,0.4737,0.7368
0.1,0.05,0.8,0.05,0.2818,0.4737,0.7368
0.25,0.45,0.3,0.0,0.2816,0.4737,0.7895
0.25,0.25,0.45,0.05,0.2816,0.4211,0.7895
0.25,0.3,0.45,0.0,0.2816,0.4211,0.7895
0.35,0.5,0.1,0.05,0.2815,0.4211,0.6316
0.05,0.0,0.85,0.1,0.2815,0.4211,0.5263
0.05,0.0,0.95,0.0,0.2815,0.4211,0.5263
0.05,0.4,0.0,0.55,0.2815,0.3684,0.6316
0.05,0.1,0.85,0.0,0.2814,0.5263,0.7368
0.2,0.3,0.45,0.05,0.2813,0.4211,0.7895
0.2,0.3,0.05,0.45,0.2813,0.4211,0.6316
0.25,0.4,0.05,0.3,0.2813,0.4211,0.6316
0.25,0.45,0.05,0.25,0.2813,0.4211,0.6316
0.15,0.55,0.15,0.15,0.2812,0.4737,0.7895
0.05,0.3,0.65,0.0,0.2812,0.4737,0.7368
0.3,0.45,0.05,0.2,0.2812,0.4211,0.6316
0.3,0.5,0.05,0.15,0.2812,0.4211,0.6316
0.3,0.55,0.05,0.1,0.2812,0.4211,0.6316
0.35,0.55,0.05,0.05,0.2812,0.4211,0.6316
0.35,0.6,0.05,0.0,0.2812,0.4211,0.6316
0.05,0.0,0.9,0.05,0.2812,0.4211,0.5263
0.25,0.4,0.35,0.0,0.281,0.4211,0.7895
0.15,0.4,0.2,0.25,0.2809,0.4737,0.7895
0.05,0.25,0.65,0.05,0.2809,0.4737,0.7368
0.2,0.35,0.0,0.45,0.2809,0.4211,0.6316
0.25,0.4,0.0,0.35,0.2809,0.4211,0.6316
0.25,0.45,0.0,0.3,0.2809,0.4211,0.6316
0.3,0.5,0.0,0.2,0.2807,0.4211,0.6316
0.3,0.55,0.0,0.15,0.2807,0.4211,0.6316
0.35,0.55,0.0,0.1,0.2807,0.4211,0.6316
0.35,0.6,0.0,0.05,0.2807,0.4211,0.6316
0.35,0.3,0.35,0.0,0.2805,0.4737,0.7895
0.4,0.2,0.4,0.0,0.2805,0.4737,0.7895
0.15,0.25,0.0,0.6,0.2805,0.4211,0.6316
0.1,0.8,0.0,0.1,0.2805,0.3684,0.6316
0.15,0.35,0.45,0.05,0.2804,0.4211,0.7895
